2026-07-13T10:09:32Z|RUNNING
2026-07-13T10:09:38Z|RUNNING
2026-07-13T10:09:43Z|RUNNING
2026-07-13T10:09:48Z|RUNNING
2026-07-13T10:09:53Z|RUNNING
2026-07-13T10:09:58Z|RUNNING
2026-07-13T10:10:03Z|RUNNING
2026-07-13T10:10:08Z|RUNNING
2026-07-13T10:10:13Z|RUNNING
2026-07-13T10:10:54Z|RUNNING|00:01:32
2026-07-13T10:10:59Z|RUNNING|00:01:37
2026-07-13T10:11:04Z|RUNNING|00:01:42
2026-07-13T10:11:09Z|RUNNING|00:01:47
2026-07-13T10:11:14Z|RUNNING|00:01:52
2026-07-13T10:11:19Z|RUNNING|00:01:57
2026-07-13T10:11:24Z|RUNNING|00:02:02
2026-07-13T10:11:29Z|RUNNING|00:02:07
2026-07-13T10:11:34Z|RUNNING|00:02:12
2026-07-13T10:11:53Z|RUNNING|00:02:31
2026-07-13T10:11:58Z|RUNNING|00:02:36
2026-07-13T10:12:03Z|RUNNING|00:02:41
2026-07-13T10:12:08Z|RUNNING|00:02:46
2026-07-13T10:12:13Z|RUNNING|00:02:51
2026-07-13T10:12:18Z|RUNNING|00:02:56
2026-07-13T10:12:23Z|RUNNING|00:03:01
2026-07-13T10:12:28Z|RUNNING|00:03:06
2026-07-13T10:12:33Z|RUNNING|00:03:11
2026-07-13T10:12:55Z|RUNNING|00:03:33
2026-07-13T10:13:00Z|RUNNING|00:03:38
2026-07-13T10:13:05Z|RUNNING|00:03:43
2026-07-13T10:13:10Z|RUNNING|00:03:48
2026-07-13T10:13:16Z|RUNNING|00:03:53
2026-07-13T10:13:21Z|RUNNING|00:03:59
2026-07-13T10:13:26Z|RUNNING|00:04:04
2026-07-13T10:13:31Z|RUNNING|00:04:09
2026-07-13T10:13:36Z|RUNNING|00:04:14
2026-07-13T10:14:01Z|RUNNING|00:04:39
2026-07-13T10:14:06Z|RUNNING|00:04:44
2026-07-13T10:14:11Z|RUNNING|00:04:49
2026-07-13T10:14:16Z|RUNNING|00:04:54
2026-07-13T10:14:21Z|RUNNING|00:04:59
2026-07-13T10:14:26Z|RUNNING|00:05:04
2026-07-13T10:14:31Z|RUNNING|00:05:09
2026-07-13T10:14:36Z|RUNNING|00:05:14
2026-07-13T10:14:41Z|RUNNING|00:05:19
2026-07-13T10:15:23Z|RUNNING|00:06:01
2026-07-13T10:15:28Z|RUNNING|00:06:06
2026-07-13T10:15:33Z|RUNNING|00:06:11
2026-07-13T10:15:38Z|RUNNING|00:06:16
2026-07-13T10:15:43Z|RUNNING|00:06:21
2026-07-13T10:15:48Z|RUNNING|00:06:26
2026-07-13T10:15:53Z|RUNNING|00:06:31
2026-07-13T10:15:58Z|RUNNING|00:06:36
2026-07-13T10:16:03Z|RUNNING|00:06:41
2026-07-13T10:16:23Z|RUNNING|00:07:01
2026-07-13T10:16:28Z|RUNNING|00:07:06
2026-07-13T10:16:33Z|RUNNING|00:07:11
2026-07-13T10:16:38Z|RUNNING|00:07:16
2026-07-13T10:16:43Z|RUNNING|00:07:21
2026-07-13T10:16:48Z|RUNNING|00:07:26
2026-07-13T10:16:53Z|RUNNING|00:07:31
2026-07-13T10:16:58Z|RUNNING|00:07:36
2026-07-13T10:17:03Z|RUNNING|00:07:41
2026-07-13T10:17:27Z|RUNNING|00:08:05
2026-07-13T10:17:32Z|RUNNING|00:08:10
2026-07-13T10:17:37Z|RUNNING|00:08:15
2026-07-13T10:17:42Z|RUNNING|00:08:20
2026-07-13T10:17:47Z|RUNNING|00:08:25
2026-07-13T10:17:52Z|RUNNING|00:08:30
2026-07-13T10:17:57Z|RUNNING|00:08:35
2026-07-13T10:18:02Z|RUNNING|00:08:40
2026-07-13T10:18:07Z|RUNNING|00:08:45
2026-07-13T10:18:35Z|RUNNING|00:09:13
2026-07-13T10:18:40Z|RUNNING|00:09:18
2026-07-13T10:18:45Z|RUNNING|00:09:23
2026-07-13T10:18:50Z|RUNNING|00:09:28
2026-07-13T10:18:55Z|RUNNING|00:09:33
2026-07-13T10:19:00Z|RUNNING|00:09:38
2026-07-13T10:19:05Z|RUNNING|00:09:43
2026-07-13T10:19:10Z|RUNNING|00:09:48
2026-07-13T10:19:15Z|RUNNING|00:09:53
2026-07-13T10:19:41Z|RUNNING|00:10:19
2026-07-13T10:19:46Z|RUNNING|00:10:24
2026-07-13T10:19:51Z|RUNNING|00:10:29
2026-07-13T10:19:56Z|RUNNING|00:10:34
2026-07-13T10:20:01Z|RUNNING|00:10:39
2026-07-13T10:20:06Z|RUNNING|00:10:44
2026-07-13T10:20:11Z|RUNNING|00:10:49
2026-07-13T10:20:16Z|RUNNING|00:10:54
2026-07-13T10:20:21Z|RUNNING|00:10:59
2026-07-13T10:20:46Z|RUNNING|00:11:24
2026-07-13T10:20:51Z|RUNNING|00:11:29
2026-07-13T10:20:56Z|RUNNING|00:11:34
2026-07-13T10:21:01Z|RUNNING|00:11:39
2026-07-13T10:21:06Z|RUNNING|00:11:44
2026-07-13T10:21:11Z|RUNNING|00:11:49
2026-07-13T10:21:16Z|RUNNING|00:11:54
2026-07-13T10:21:21Z|RUNNING|00:11:59
2026-07-13T10:21:26Z|RUNNING|00:12:04
2026-07-13T10:21:58Z|RUNNING|00:12:36
2026-07-13T10:22:03Z|RUNNING|00:12:41
2026-07-13T10:22:08Z|RUNNING|00:12:46
2026-07-13T10:22:13Z|RUNNING|00:12:51
2026-07-13T10:22:18Z|RUNNING|00:12:56
2026-07-13T10:22:23Z|RUNNING|00:13:01
2026-07-13T10:22:28Z|RUNNING|00:13:06
2026-07-13T10:22:33Z|RUNNING|00:13:11
2026-07-13T10:22:38Z|RUNNING|00:13:16
2026-07-13T10:23:02Z|RUNNING|00:13:40
2026-07-13T10:23:07Z|RUNNING|00:13:45
2026-07-13T10:23:12Z|RUNNING|00:13:50
2026-07-13T10:23:17Z|RUNNING|00:13:55
2026-07-13T10:23:22Z|RUNNING|00:14:00
2026-07-13T10:23:27Z|RUNNING|00:14:05
2026-07-13T10:23:32Z|RUNNING|00:14:10
2026-07-13T10:23:37Z|RUNNING|00:14:15
2026-07-13T10:23:42Z|RUNNING|00:14:20
2026-07-13T10:24:06Z|RUNNING|00:14:44
2026-07-13T10:24:11Z|RUNNING|00:14:49
2026-07-13T10:24:16Z|RUNNING|00:14:54
2026-07-13T10:24:21Z|RUNNING|00:14:59
2026-07-13T10:24:26Z|RUNNING|00:15:04
2026-07-13T10:24:31Z|RUNNING|00:15:09
2026-07-13T10:24:36Z|RUNNING|00:15:14
2026-07-13T10:24:41Z|RUNNING|00:15:19
2026-07-13T10:24:46Z|RUNNING|00:15:24
2026-07-13T10:25:13Z|RUNNING|00:15:51
2026-07-13T10:25:18Z|RUNNING|00:15:56
2026-07-13T10:25:23Z|RUNNING|00:16:01
2026-07-13T10:25:28Z|RUNNING|00:16:06
2026-07-13T10:25:33Z|RUNNING|00:16:11
2026-07-13T10:25:38Z|RUNNING|00:16:16
2026-07-13T10:25:43Z|RUNNING|00:16:21
2026-07-13T10:25:48Z|RUNNING|00:16:26
2026-07-13T10:25:53Z|RUNNING|00:16:31
