JobIDRaw|JobName|State|ExitCode|DerivedExitCode|NNodes|NTasks|NodeList|Partition|QOS|Account|Submit|Start|End|Elapsed
5127202|e97-32n-clean|COMPLETED|0:0|0:0|32||frontier[00125,01780,01901,02008,02159,02283,02423,02548,02679,02801,02938,03061,03079,03207,03336,03566,03693,03797,03848,04046,04204,04360,04488,04616,04743,04872,04998,05236,05498,05624,05644,05918]|batch|normal|bif148|2026-07-31T09:42:16|2026-07-31T09:51:19|2026-07-31T10:09:00|00:17:41
5127202.batch|batch|COMPLETED|0:0||1|1|frontier00125|||bif148|2026-07-31T09:51:19|2026-07-31T09:51:19|2026-07-31T10:09:00|00:17:41
5127202.extern|extern|COMPLETED|0:0||32|32|frontier[00125,01780,01901,02008,02159,02283,02423,02548,02679,02801,02938,03061,03079,03207,03336,03566,03693,03797,03848,04046,04204,04360,04488,04616,04743,04872,04998,05236,05498,05624,05644,05918]|||bif148|2026-07-31T09:51:19|2026-07-31T09:51:19|2026-07-31T10:09:00|00:17:41
5127202.0|bash|COMPLETED|0:0||32|256|frontier[00125,01780,01901,02008,02159,02283,02423,02548,02679,02801,02938,03061,03079,03207,03336,03566,03693,03797,03848,04046,04204,04360,04488,04616,04743,04872,04998,05236,05498,05624,05644,05918]|||bif148|2026-07-31T09:51:32|2026-07-31T09:51:32|2026-07-31T10:09:00|00:17:28
5127203|collect-e97-32n-clean|FAILED|1:0|0:0|1||frontier07675|batch|normal|bif148|2026-07-31T09:42:16|2026-07-31T10:10:08|2026-07-31T10:10:38|00:00:30
5127203.batch|batch|FAILED|1:0||1|1|frontier07675|||bif148|2026-07-31T10:10:08|2026-07-31T10:10:08|2026-07-31T10:10:38|00:00:30
5127203.extern|extern|COMPLETED|0:0||1|1|frontier07675|||bif148|2026-07-31T10:10:08|2026-07-31T10:10:08|2026-07-31T10:10:38|00:00:30
5127458|collect-e97-32n-fix|COMPLETED|0:0|0:0|1||frontier05151|batch|normal|bif148|2026-07-31T10:12:08|2026-07-31T10:12:21|2026-07-31T10:12:45|00:00:24
5127458.batch|batch|COMPLETED|0:0||1|1|frontier05151|||bif148|2026-07-31T10:12:21|2026-07-31T10:12:21|2026-07-31T10:12:45|00:00:24
5127458.extern|extern|COMPLETED|0:0||1|1|frontier05151|||bif148|2026-07-31T10:12:21|2026-07-31T10:12:21|2026-07-31T10:12:45|00:00:24
